key[9..0]  | key1[7..0]
1001000100   |  10011000  
1001000101   |  10011010  
1001000110   |  10111000  
1001000111   |  10111010  
1001001000   |  11010000  
1001001001   |  11010010  
1001001010   |  11110000  
1001001011   |  11110010  
1001001100   |  11011000  
1001001101   |  11011010  
1001001110   |  11111000  
1001001111   |  11111010  
1001010000   |  10010001  
1001010001   |  10010011  
1001010010   |  10110001  
1001010011   |  10110011  
1001010100   |  10011001  
1001010101   |  10011011  
1001010110   |  10111001  
1001010111   |  10111011  
1001011000   |  11010001  
1001011001   |  11010011  
1001011010   |  11110001  
1001011011   |  11110011  
1001011100   |  11011001  
1001011101   |  11011011  
1001011110   |  11111001  
1001011111   |  11111011  
1001100000   |  10010000  
1001100001   |  10010010  
1001100010   |  10110000  
1001100011   |  10110010  
1001100100   |  10011000  
1001100101   |  10011010  
1001100110   |  10111000  
1001100111   |  10111010  
1001101000   |  11010000  
1001101001   |  11010010  
1001101010   |  11110000  
1001101011   |  11110010  
1001101100   |  11011000  
1001101101   |  11011010  
1001101110   |  11111000  
1001101111   |  11111010  
1001110000   |  10010001  
1001110001   |  10010011  
1001110010   |  10110001  
1001110011   |  10110011  
1001110100   |  10011001  
1001110101   |  10011011  
1001110110   |  10111001  
1001110111   |  10111011  
1001111000   |  11010001  
1001111001   |  11010011  
1001111010   |  11110001  
1001111011   |  11110011  
1001111100   |  11011001  
1001111101   |  11011011  
1001111110   |  11111001  
1001111111   |  11111011  
1010000000   |  10000100  
1010000001   |  10000110  
1010000010   |  10100100  
1010000011   |  10100110  
1010000100   |  10001100  
1010000101   |  10001110  
1010000110   |  10101100  
1010000111   |  10101110  
1010001000   |  11000100  
1010001001   |  11000110  
1010001010   |  11100100  
1010001011   |  11100110  
1010001100   |  11001100  
1010001101   |  11001110  
1010001110   |  11101100  
1010001111   |  11101110  
1010010000   |  10000101  
1010010001   |  10000111  
1010010010   |  10100101  
1010010011   |  10100111  
1010010100   |  10001101  
1010010101   |  10001111  
1010010110   |  10101101  
1010010111   |  10101111  
1010011000   |  11000101  
1010011001   |  11000111  
1010011010   |  11100101  
1010011011   |  11100111  
1010011100   |  11001101  
1010011101   |  11001111  
1010011110   |  11101101  
1010011111   |  11101111  
1010100000   |  10000100  
1010100001   |  10000110  
1010100010   |  10100100  
1010100011   |  10100110  
1010100100   |  10001100  
1010100101   |  10001110  
1010100110   |  10101100  
1010100111   |  10101110  
1010101000   |  11000100  
1010101001   |  11000110  
1010101010   |  11100100  
1010101011   |  11100110  
1010101100   |  11001100  
1010101101   |  11001110  
1010101110   |  11101100  
1010101111   |  11101110  
1010110000   |  10000101  
1010110001   |  10000111  
1010110010   |  10100101  
1010110011   |  10100111  
1010110100   |  10001101  
1010110101   |  10001111  
1010110110   |  10101101  
1010110111   |  10101111  
1010111000   |  11000101  
1010111001   |  11000111  
1010111010   |  11100101  
1010111011   |  11100111  
1010111100   |  11001101  
1010111101   |  11001111  
1010111110   |  11101101  
1010111111   |  11101111  
1011000000   |  10010100  
1011000001   |  10010110  
1011000010   |  10110100  
1011000011   |  10110110  
1011000100   |  10011100  
1011000101   |  10011110  
1011000110   |  10111100  
1011000111   |  10111110  
1011001000   |  11010100  
1011001001   |  11010110  
1011001010   |  11110100  
1011001011   |  11110110  
1011001100   |  11011100  
1011001101   |  11011110  
1011001110   |  11111100  
1011001111   |  11111110  
1011010000   |  10010101  
1011010001   |  10010111  
1011010010   |  10110101  
1011010011   |  10110111  
1011010100   |  10011101  
1011010101   |  10011111  
1011010110   |  10111101  
1011010111   |  10111111  
1011011000   |  11010101  
1011011001   |  11010111  
1011011010   |  11110101  
1011011011   |  11110111  
1011011100   |  11011101  
1011011101   |  11011111  
1011011110   |  11111101  
1011011111   |  11111111  
1011100000   |  10010100  
1011100001   |  10010110  
1011100010   |  10110100  
1011100011   |  10110110  
1011100100   |  10011100  
1011100101   |  10011110  
1011100110   |  10111100  
1011100111   |  10111110  
1011101000   |  11010100  
1011101001   |  11010110  
1011101010   |  11110100  
1011101011   |  11110110  
1011101100   |  11011100  
1011101101   |  11011110  
1011101110   |  11111100  
1011101111   |  11111110  
1011110000   |  10010101  
1011110001   |  10010111  
1011110010   |  10110101  
1011110011   |  10110111  
1011110100   |  10011101  
1011110101   |  10011111  
1011110110   |  10111101  
1011110111   |  10111111  
1011111000   |  11010101  
1011111001   |  11010111  
1011111010   |  11110101  
1011111011   |  11110111  
1011111100   |  11011101  
1011111101   |  11011111  
1011111110   |  11111101  
1011111111   |  11111111  
1100000000   |  10000000  
1100000001   |  10000010  
1100000010   |  10100000  
1100000011   |  10100010  
1100000100   |  10001000  
1100000101   |  10001010  
1100000110   |  10101000  
1100000111   |  10101010  
1100001000   |  11000000  
1100001001   |  11000010  
1100001010   |  11100000  
1100001011   |  11100010  
1100001100   |  11001000  
1100001101   |  11001010  
1100001110   |  11101000  
1100001111   |  11101010  
1100010000   |  10000001  
1100010001   |  10000011  
1100010010   |  10100001  
1100010011   |  10100011  
1100010100   |  10001001  
1100010101   |  10001011  
1100010110   |  10101001  
1100010111   |  10101011  
1100011000   |  11000001  
1100011001   |  11000011  
1100011010   |  11100001  
1100011011   |  11100011  
1100011100   |  11001001  
1100011101   |  11001011  
1100011110   |  11101001  
1100011111   |  11101011  
1100100000   |  10000000  
1100100001   |  10000010  
1100100010   |  10100000  
1100100011   |  10100010  
1100100100   |  10001000  
1100100101   |  10001010  
1100100110   |  10101000  
1100100111   |  10101010  
1100101000   |  11000000  
1100101001   |  11000010  
1100101010   |  11100000  
1100101011   |  11100010  
1100101100   |  11001000  
1100101101   |  11001010  
1100101110   |  11101000  
1100101111   |  11101010  
1100110000   |  10000001  
1100110001   |  10000011  
1100110010   |  10100001  
1100110011   |  10100011  
1100110100   |  10001001  
1100110101   |  10001011  
1100110110   |  10101001  
1100110111   |  10101011  
1100111000   |  11000001  
1100111001   |  11000011  
1100111010   |  11100001  
1100111011   |  11100011  
1100111100   |  11001001  
1100111101   |  11001011  
1100111110   |  11101001  
1100111111   |  11101011  
1101000000   |  10010000  
1101000001   |  10010010  
1101000010   |  10110000  
1101000011   |  10110010  
1101000100   |  10011000  
1101000101   |  10011010  
1101000110   |  10111000  
1101000111   |  10111010  
1101001000   |  11010000  
1101001001   |  11010010  
1101001010   |  11110000  
1101001011   |  11110010  
1101001100   |  11011000  
1101001101   |  11011010  
1101001110   |  11111000  
1101001111   |  11111010  
1101010000   |  10010001  
1101010001   |  10010011  
1101010010   |  10110001  
1101010011   |  10110011  
1101010100   |  10011001  
1101010101   |  10011011  
1101010110   |  10111001  
1101010111   |  10111011  
1101011000   |  11010001  
1101011001   |  11010011  
1101011010   |  11110001  
1101011011   |  11110011  
1101011100   |  11011001  
1101011101   |  11011011  
1101011110   |  11111001  
1101011111   |  11111011  
1101100000   |  10010000  
1101100001   |  10010010  
1101100010   |  10110000  
1101100011   |  10110010  
1101100100   |  10011000  
1101100101   |  10011010  
1101100110   |  10111000  
1101100111   |  10111010  
1101101000   |  11010000  
1101101001   |  11010010  
1101101010   |  11110000  
1101101011   |  11110010  
1101101100   |  11011000  
1101101101   |  11011010  
1101101110   |  11111000  
1101101111   |  11111010  
1101110000   |  10010001  
1101110001   |  10010011  
1101110010   |  10110001  
1101110011   |  10110011  
1101110100   |  10011001  
1101110101   |  10011011  
1101110110   |  10111001  
1101110111   |  10111011  
1101111000   |  11010001  
1101111001   |  11010011  
1101111010   |  11110001  
1101111011   |  11110011  
1101111100   |  11011001  
1101111101   |  11011011  
1101111110   |  11111001  
1101111111   |  11111011  
1110000000   |  10000100  
1110000001   |  10000110  
1110000010   |  10100100  
1110000011   |  10100110  
1110000100   |  10001100  
1110000101   |  10001110  
1110000110   |  10101100  
1110000111   |  10101110  
1110001000   |  11000100  
1110001001   |  11000110  
1110001010   |  11100100  
1110001011   |  11100110  
1110001100   |  11001100  
1110001101   |  11001110  
1110001110   |  11101100  
1110001111   |  11101110  
1110010000   |  10000101  
1110010001   |  10000111  
1110010010   |  10100101  
1110010011   |  10100111  
1110010100   |  10001101  
1110010101   |  10001111  
1110010110   |  10101101  
1110010111   |  10101111  
1110011000   |  11000101  
1110011001   |  11000111  
1110011010   |  11100101  
1110011011   |  11100111  
1110011100   |  11001101  
1110011101   |  11001111  
1110011110   |  11101101  
1110011111   |  11101111  
1110100000   |  10000100  
1110100001   |  10000110  
1110100010   |  10100100  
1110100011   |  10100110  
1110100100   |  10001100  
1110100101   |  10001110  
1110100110   |  10101100  
1110100111   |  10101110  
1110101000   |  11000100  
1110101001   |  11000110  
1110101010   |  11100100  
1110101011   |  11100110  
1110101100   |  11001100  
1110101101   |  11001110  
1110101110   |  11101100  
1110101111   |  11101110  
1110110000   |  10000101  
1110110001   |  10000111  
1110110010   |  10100101  
1110110011   |  10100111  
1110110100   |  10001101  
1110110101   |  10001111  
1110110110   |  10101101  
1110110111   |  10101111  
1110111000   |  11000101  
1110111001   |  11000111  
1110111010   |  11100101  
1110111011   |  11100111  
1110111100   |  11001101  
1110111101   |  11001111  
1110111110   |  11101101  
1110111111   |  11101111  
1111000000   |  10010100  
1111000001   |  10010110  
1111000010   |  10110100  
1111000011   |  10110110  
1111000100   |  10011100  
1111000101   |  10011110  
1111000110   |  10111100  
1111000111   |  10111110  
1111001000   |  11010100  
1111001001   |  11010110  
1111001010   |  11110100  
1111001011   |  11110110  
1111001100   |  11011100  
1111001101   |  11011110  
1111001110   |  11111100  
1111001111   |  11111110  
1111010000   |  10010101  
1111010001   |  10010111  
1111010010   |  10110101  
1111010011   |  10110111  
1111010100   |  10011101  
1111010101   |  10011111  
1111010110   |  10111101  
1111010111   |  10111111  
1111011000   |  11010101  
1111011001   |  11010111  
1111011010   |  11110101  
1111011011   |  11110111  
1111011100   |  11011101  
1111011101   |  11011111  
1111011110   |  11111101  
1111011111   |  11111111  
1111100000   |  10010100  
1111100001   |  10010110  
1111100010   |  10110100  
1111100011   |  10110110  
1111100100   |  10011100  
1111100101   |  10011110  
1111100110   |  10111100  
1111100111   |  10111110  
1111101000   |  11010100  
1111101001   |  11010110  
1111101010   |  11110100  
1111101011   |  11110110  
1111101100   |  11011100  
1111101101   |  11011110  
1111101110   |  11111100  
1111101111   |  11111110  
1111110000   |  10010101  
1111110001   |  10010111  
1111110010   |  10110101  
1111110011   |  10110111  
1111110100   |  10011101  
1111110101   |  10011111  
1111110110   |  10111101  
1111110111   |  10111111  
1111111000   |  11010101  
1111111001   |  11010111  
1111111010   |  11110101  
1111111011   |  11110111  
1111111100   |  11011101  
1111111101   |  11011111  
1111111110   |  11111101  
1111111111   |  11111111  
